name,state,street,lon,lat,formatted,categories,min_fee
Aussichtsrestaurant,Aswan,Al Fanadq Street,32.88107337,24.07270585,"Aussichtsrestaurant, Al Fanadq Street, Nagaa Al Mahata, 81529, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.regional', 'tourism', 'tourism.attraction', 'tourism.attraction.viewpoint']",0
Azar Hotek***,Cairo,Adly Street,31.2444065,30.0512617,"Azar Hotek***, 09 Adly Street, Al-Azbakeya, Cairo, 11574, Egypt","['catering', 'catering.cafe']",0
Bab Rizq,Giza,El Geish Street,31.0894134,29.9591882,"Bab Rizq, El Geish Street, Ash Sheikh Zayed, 12587, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.fruit_and_vegetable']",0
Baba Dooi,Aswan,loop from Nubialin,32.8915801,24.0943616,"Baba Dooi, loop from Nubialin, Siou, 81511, Egypt","['catering', 'catering.restaurant']",0
Baladina,Cairo,Kornish Al Nil Street,31.2342888,29.9745973,"Baladina, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.arab']",0
Barista,Cairo,Street 9,31.2654792,29.9515758,"Barista, 24 Street 9, Cairo, 11728, Egypt","['catering', 'catering.cafe']",0
Basmatio,Cairo,Al Nasr Street,31.2841324,29.9760998,"Basmatio, Al Nasr Street, Cairo, 11742, Egypt","['catering', 'catering.fast_food']",0
Bawabat,Giza,"Madina Al Selmaneya, Ezbet Al Safi Road",30.81328846,30.2089248,"Bawabat, Km 58 Madina Al Selmaneya, Ezbet Al Safi Road, Al Hagir, Egypt","['catering', 'catering.restaurant']",0
Bazooka Fried Chicken,Cairo,Street 9,31.2643952,29.9526188,"Bazooka Fried Chicken, Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.fast_food']",0
Beach Restaurant Mashawi,Red Sea,"Al Qusair, Marsa Aalam Road",34.6031757,25.6070841,"Beach Restaurant Mashawi, Al Qusair, Marsa Aalam Road, Egypt","['catering', 'catering.restaurant']",0
Beano's,Cairo,Street 10,31.26041545,29.9584424,"Beano's, Street 10, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.cafe', 'internet_access', 'internet_access.free']",0
Beano's,Cairo,Al Sheikh Al Marsafi Street,31.22271893,30.0574267,"Beano's, 10 Al Sheikh Al Marsafi Street, Al-Sabtiyya, 11568, Egypt","['building', 'building.catering', 'catering', 'catering.cafe', 'internet_access', 'internet_access.free']",0
Beano's Cafe,Cairo,Side Al Tesein Southern Street,31.48784738,30.02609725,"Beano's Cafe, Side Al Tesein Southern Street, Cairo, 11865, Egypt","['building', 'building.catering', 'catering', 'catering.cafe']",0
Bedouin Camp,New Valley,"Al Farafrah, Al Wahat Al Dakhlah Road",28.9496063,25.5606621,"Bedouin Camp, Al Farafrah, Al Wahat Al Dakhlah Road, Egypt","['accommodation', 'accommodation.hotel']",0
Bedouin Camp,New Valley,"Al Farafrah, Al Wahat Al Dakhlah Road",28.9496063,25.5606621,"Bedouin Camp, Al Farafrah, Al Wahat Al Dakhlah Road, Egypt","['accommodation', 'accommodation.hotel']",0
Beduin cafe,Red Sea,"Al Qusair, Marsa Aalam Road",34.7576431,25.2507496,"Beduin cafe, Al Qusair, Marsa Aalam Road, Marsa Alam City, Egypt","['catering', 'catering.cafe']",0
Belgaufra Belgian Waffles,Cairo,Street 9,31.2597509,29.95807,"Belgaufra Belgian Waffles, 82 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.restaurant']",0
Bella Chicken,Red Sea,"Al Qusair, Marsa Aalam Road",34.79020266,25.2549274,"Bella Chicken, Al Qusair, Marsa Aalam Road, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.chicken']",0
Best View Pyramids Hotel,Giza,Abou Saraya Street,31.1420605,29.9734817,"Best View Pyramids Hotel, 13 Abou Saraya Street, Nazlet al Batran, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0
Best View Pyramids Hotel,Giza,Abou Saraya Street,31.1420605,29.9734817,"Best View Pyramids Hotel, 13 Abou Saraya Street, Nazlet al Batran, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0
Best'n'Town,Red Sea,"Al Zaafarana, Ra's Ghareb Road",32.6472053,29.1000543,"Best'n'Town, Al Zaafarana, Ra's Ghareb Road, Gharib Cape, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",0
Better Buns,Red Sea,Ahmed Ragab Street,33.6761369,27.4101102,"Better Buns, Ahmed Ragab Street, Gamsha, 84513, Egypt","['catering', 'catering.restaurant']",0
BiCafe,Red Sea,"Al Qusair, Marsa Aalam Road",34.6352537,25.5340187,"BiCafe, Al Qusair, Marsa Aalam Road, Port Ghalib, Egypt","['catering', 'catering.restaurant']",0
Bikya - Second hand books and coffee,Cairo,Street 85,31.2632333,29.9542976,"Bikya - Second hand books and coffee, 40 Street 85, Cairo, 11431, Egypt","['catering', 'catering.cafe']",0
Bio Shop,Cairo,Street 231,31.2771694,29.9608405,"Bio Shop, Street 231, Cairo, 11431, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.deli', 'commercial.food_and_drink.health_food']",0
Black Rock Stone Grill,Cairo,Baha' Al Din Qaraqosh Street,31.21928136,30.0574889,"Black Rock Stone Grill, Baha' Al Din Qaraqosh Street, Al-Sabtiyya, 11211, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",0
Bob's,Red Sea,Ahmed Ragab Street,33.6748017,27.4069709,"Bob's, Ahmed Ragab Street, Gamsha, 84513, Egypt","['catering', 'catering.fast_food']",0
bodega,Red Sea,Inas Al Deghedi Street,33.6752033,27.3959537,"bodega, Inas Al Deghedi Street, Gamsha, 84513, Egypt","['catering', 'catering.restaurant', 'internet_access']",0
Brayka Bay Reef Hotel,Red Sea,"Al Qusair, Marsa Aalam Road",34.80006761,25.21607555,"Brayka Bay Reef Hotel, Al Qusair, Marsa Aalam Road, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",0
Brazilian Coffee Stores,Cairo,Street 9,31.2621844,29.954672,"Brazilian Coffee Stores, Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.cafe']",0
